country,Region,Surface area (km2),Population in thousands (2017),GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",Unemployment (% of labour force),Labour force participation (female/male pop. %),Population growth rate (average annual %),Refugees and others of concern to UNHCR (in thousands),Seats held by women in national parliaments %
Afghanistan,SouthernAsia,652864,35530,20270.0,-2.4,8.6,19.3/83.6,3.2,1513.1,27.7
Albania,SouthernEurope,28748,2930,11541.0,2.6,15.8,40.2/61.0,-0.1,8.8,22.9
Algeria,NorthernAfrica,2381741,41318,164779.0,3.8,11.4,17.0/70.7,2.0,99.8,31.6
American Samoa,Polynesia,199,56,,,...,.../...,-~0.0,,
Andorra,SouthernEurope,468,77,2812.0,0.8,,,-1.6,,32.1
Angola,MiddleAfrica,1246700,29784,117955.0,3.0,6.6,59.8/77.1,3.5,45.7,38.2
Anguilla,Caribbean,91,15,320.0,2.9,...,.../...,1.2,~0.0,
Antigua and Barbuda,Caribbean,442,102,1356.0,4.1,...,.../...,1.1,~0.0,11.1
Argentina,SouthAmerica,2780400,44271,632343.0,2.4,6.5,48.6/74.4,1.0,5.0,38.9
Armenia,WesternAsia,29743,2930,10529.0,3.0,16.6,55.3/74.2,0.3,19.3,9.9
Aruba,Caribbean,180,105,2702.0,0.1,...,58.8/69.6,0.5,~0.0,
Australia,Oceania,7692060,24451,1230859.0,2.4,5.5,58.4/70.7,1.5,58.2,28.7
Austria,WesternEurope,83871,8736,376967.0,1.0,6.2,54.6/65.8,0.6,166.4,30.6
Azerbaijan,WesternAsia,86600,9828,53049.0,0.7,5.2,62.0/68.8,1.3,623.3,16.8
Bahamas,Caribbean,13940,395,8854.0,-1.7,14.7,69.4/79.1,1.4,0.1,13.2
Bahrain,WesternAsia,771,1493,31126.0,2.9,1.3,38.5/84.9,2.0,0.4,7.5
Bangladesh,SouthernAsia,147570,164670,194466.0,6.6,4.0,43.2/81.1,1.2,233.0,20.3
Barbados,Caribbean,431,286,4385.0,0.9,11.3,61.8/70.0,0.3,~0.0,16.7
Belarus,EasternEurope,207600,9468,54609.0,-3.9,0.5,54.0/67.8,~0.0,7.9,34.5
Belgium,WesternEurope,30528,11429,455107.0,1.5,8.3,48.1/58.9,0.6,63.8,38.0
Belize,CentralAmerica,22966,375,1721.0,1.2,11.5,56.7/83.8,2.2,3.1,9.4
Benin,WesternAfrica,114763,11176,8476.0,5.2,1.0,70.0/73.4,2.8,0.8,7.2
Bermuda,NorthernAmerica,53,61,5853.0,0.4,6.7,72.6/80.0,-0.6,,
Bhutan,SouthernAsia,38394,808,2074.0,5.2,2.4,59.4/73.5,1.6,,8.5
Bolivia (Plurinational State of),SouthAmerica,1098581,11052,32998.0,4.8,3.8,64.1/82.6,1.6,0.8,53.1
